ano,predicted_mean,lower ejec_cp,upper ejec_cp
2018,391.36577308137726,249.86059847090624,532.8709476918483
2018,366.6769671208202,161.61166844143332,571.7422658002072
2018,347.82872732260967,113.54177025607513,582.1156843891442
2018,333.4393662470514,83.69331079246197,583.1854217016408
2018,322.45405863321,64.1243514072761,580.783765859144
2018,314.06751646938153,50.86409466980609,577.270938268957
2018,307.6649566196189,41.66217650386096,573.6677367353768
2018,302.7770335842353,35.15621139403521,570.3978557744354
2018,299.04543369911767,30.486065644188045,567.6048017540472
2018,296.1966086251939,27.091738330674048,565.3014789197138
2018,294.0217226375016,24.599427073257573,563.4440182017456
2018,292.36134373156005,22.754215783273082,561.968471679847
2018,291.09375631461194,21.378961050236228,560.8085515789876
2018,290.1260387328867,20.3485116153293,559.903565850444
2018,289.3872515648705,19.573169208774914,559.2013339209661
2018,288.8232373421958,18.98785180393429,558.6586228804573
2018,288.3926504869401,18.544849604305,558.2404513695752
2018,288.06392643625975,18.20888978983055,557.918963082689
