historicomes,historicoporccomp,anionro,historicoindice
15,0.0,2022,8776
18,0.0,2022,8776
17,0.0,2022,8776
1,0.0,2022,8776
2,0.0,2022,8776
3,0.0,2022,8776
4,0.0,2022,8776
5,0.0,2022,8776
6,0.0,2022,8776
7,0.0,2022,8776
8,0.0,2022,8776
9,0.0,2022,8776
10,0.0,2022,8776
11,0.0,2022,8776
12,0.0,2022,8776
13,0.0,2022,8776
14,0.0,2022,8776
16,0.0,2022,8776
3,0.0,2021,8776
2,0.0,2021,8776
1,0.0,2021,8776
18,0.0,2021,8776
17,0.0,2021,8776
16,0.0,2021,8776
15,0.0,2021,8776
14,0.0,2021,8776
13,0.0,2021,8776
12,0.0,2021,8776
11,0.0,2021,8776
10,0.0,2021,8776
9,0.0,2021,8776
8,0.0,2021,8776
7,0.0,2021,8776
6,0.0,2021,8776
5,0.0,2021,8776
4,0.0,2021,8776
